ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	EVENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
3785	555	8	15				2	1			GREECE		THRACE	41	29.5	50																													
2286	557						3	1		7	TURKEY		MARMARA SEA	40.9	27.6	50			1	3																									
49	558	12	14				2	1		7	TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	40.9	28.8	50																													
3765	558						4	1		7	GREECE		DODECANESE ISLANDS	37.1	27.7	50				6																									
53	684	11	29				4	1		8.4	JAPAN		NANKAIDO	32.5	134	85	3		1.6	1			3						3						3						3				
54	701	5	12				4	1		7	JAPAN		SEA OF JAPAN	35.7	135.4	85			2	1									3												3				
55	704	8	2				4	1		7	JAPAN		KUMANONADA	33.8	136.7	85			2	2																									
56	740	10	26				2	1		7.3	TURKEY		MARMARA SEA	40.7	29.3	50				3															3						3		3		
57	744	6	30				4	1		6.4	JAPAN		SW. KYUSHU ISLAND	32.4	130.5	85			2	2		1520	4						2	470	2			1520	4						3	470	3		
58	745	6	9				3	1		6.5	JAPAN		OSAKA BAY, JAPAN	34.6	135.3	85			1	1			3												3										
59	746	1	18				2	1		4.9	SYRIA		SYRIAN and EGYPTIAN COASTS	32	35.5	50				3																									
5457	765	7					-1	6			JAPAN		KYUSHU ISLAND			85																													
61	766	7	20				4	6		6.5	JAPAN		N. KAGOSHIMA BAY	31.6	130.7	85			1.5	1.5			3												3										
62	792	4	30				1	1			ITALY		GULF OF VENICE	45.5	11	50				3																									
63	799	9	18				2	0			JAPAN		KASHIMA, JAPAN			85	2		1	1																									
3428	800						1	1			GREECE		IONIAN SEA	36.2	23.2	50																													
64	803	12	19				2	1			TURKEY		GULF OF ISKENDERUN	36.95	35.6	50				3																					1				
66	818	8					4	3		7.9	JAPAN		TOKAIDO	35.2	139.3	85			2	1			3												3										
67	842	10	24				1	1			UK		CHANNEL ISLANDS, ENGLAND	49.5	-2.5	73																									1				
69	850	11	27				4	3		7	JAPAN		NW. HONSHU ISLAND	39	139.9	85			2	1									2						3						2				
70	855	6					-1	0			JAPAN		NANKAIDO			85	2		1	1																									
71	859						2	1			TURKEY		SAMANDAGI	36.08	36.25	50				3																									
72	863	7	10				4	3		7	JAPAN		NW. HONSHU ISLAND	37.1	138	85			2	2															3						3		3		
74	869	7	13				4	1		8.6	JAPAN		SANRIKU	38.5	143.8	85			4	4		1000	3						3						4						4		3		
75	881	4	8				2	0			ISRAEL		ISRAEL AND EGYPTIAN COASTS			50																													
4282	881	6	10				0	1			SPAIN		CADIZ	36	-8	73																													
76	887	8	2				3	1		6.5	JAPAN		NIIGATA	37.5	138.1	85			2	1		2000	4											2000	4										
77	887	8	26				4	1		8.6	JAPAN		NANKAIDO	33	135.3	85			3	3			3						3						3						3				
5283	900						1	0			INDIA		NAGAPATTINAM	10.46	79.53	60						200	3						3		2			200	3						3		2		
79	922						4	1		7	JAPAN		KUMANONADA	33.8	136.7	85	2		1	1																									
80	957	4	4				1	1			IRAN		PERSIAN GULF OR CASPIAN SEA			40				3																									
3429	963	7	22				3	1			ITALY		SICILY	38	15	50				5			4												4										
81	975	10	26				2	0			TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50				3																									
3430	986	10	26				3	1		7.5	TURKEY		MARMARA SEA	40.8	29.2	50				4																									
82	991	4	5				1	1			SYRIA		SYRIAN COASTS			50																													
3562	1008	4	11				2	1		6.5	IRAN		PERSIAN GULF	27.665	52.348	30							3						1					16000	4						4				
83	1026	6	16				3	1		7.5	JAPAN		OFF MASUDA, SHIMANE PREFECTURE	34.8	131.8	85	10		3.3	3		1001	4						4	3000	4			1001	4						3	3000	4		
84	1033	12	5				4	1			SYRIA		AKKO	33	35	50				4			2											70000	4						3		3		
87	1039	2	2				1	1		6.8	TURKEY		CONSTANTINOPLE	38.4	27.3	50																			3						3		3		
3102	1050						3	6			GREECE		ISLAND OF THIRA	36.404	25.396	50																													
3103	1065	9	23				3	1			TURKEY		MARMARA SEA			50																													
90	1068	3	18				3	1			ISRAEL		GULF OF AQABA	29.5	34.95	30				4			3						3						3						4		4		
91	1076	10	31				1	0			CHINA		GUANGDONG PROVINCE, SOUTH CHINA SEA	23	117	84				1			1						1		1				1						1		1		
5500	1088	5	13				3				JAPAN		MIYAKO, IWATE PREFECTURE	39.64	141.96	85				1.5																									
93	1088	6	10				4	1		7	JAPAN		MIYAKO, IWATE PREFECTURE	40.5	143	85			1	1.5																									
95	1092	9	13				-1	9			JAPAN		TERADOMARI, NIIGARA PREFECTURE			85			2	2																									
96	1096	12	17				4	1		8.4	JAPAN		ENSHUNADA	34	137.5	85	7		2.5	2									2	400	2										2	400	3		
2992	1099	2	22				4	1		8.4	JAPAN		NANKAIDO	33	135.5	85			2.5										1												1				
97	1099	11	11				1	0			UK		WEST CORNWALL, ENGLAND	50.116	-5.483	73																													
98	1106	3					-1	1			ITALY		MALAMOCCO	45.5	12.3	50				3																									
4201	1112	6	20				2	0			ITALY		CAMPANIA	40.85	14.25	50				2																									
3106	1114	3	12				-1	1		7	ITALY		CALABRIAN ARC	36.5	36	50				3																									
99	1134	10	1				1	0			NORTH SEA		SOUTHERN NORTH SEA			73																													
2852	1169	2	4	7			4	1		7	ITALY		EASTERN SICILY	37.3	15.03	50				4									1					16000	4						3		3		
3107	1169	2	11				3	6			ITALY		CALABRIAN ARC	37.734	15.004	50																													
3108	1172						3	1			ITALY		ISLAND OF SICILY	38	15	50							3												3										
100	1202	5	20				4	3		7.6	SYRIA		SOUTHWESTERN SYRIA	33.5	36	50				5									1					30000	4						4		4		
101	1222	5					3	1		6.6	CYPRUS ISLAND		CYPRUS	34.5	33	50				4																									
3478	1231	3	11				2	1		6.9	TURKEY		MARMARA SEA	41	28.6	50				3																					1		1		
104	1241	5	22				4	1		7	JAPAN		KAMAKURA, SAGAMI BAY	35.2	139.4	85			1	1									1												1				
106	1257	10	9				4	1		7	JAPAN		SAGAMI BAY, JAPAN	35.2	139.5	85			1	1									1												1				
105	1257	10	9				4	1		7.5	JAPAN		OFF SANRIKU	39	144	85			2	2																									
3109	1265	8	11				3	1		6.6	TURKEY		MARMARA SEA	40.7	27.4	50				3																									
3479	1270	3					3	1			GREECE		IONIAN SEA	41.3	19.5	50				3																									
108	1273	9					2	1		6.5	ALBANIA		ALBANIAN COASTS	41.3	19.7	50				3																									
110	1293	5	27				-1	1		7.1	JAPAN		KAMAKURA, SAGAMI BAY	35.2	139.4	85			1	1														23024	4						3				
111	1303	8	8				3	1		8	GREECE		AEGEAN SEA	34	26	50				4			3						3		3			4000	4						3		3		
3111	1321						2	1			ITALY		GULF OF VENICE	45.4	12.3	50				3																									
3112	1329	6	28				2	4			ITALY		ISLAND OF SICILY	37.734	15.004	50				3																									
114	1331	8	15				4	1		7	JAPAN		OFF TANABE, WAKAYAMA PREFECTURE	33.7	135.2	85			0																										
115	1332	2	12				2	1		6.8	TURKEY		CONSTANTINOPLE	40.9	28.9	50				3																									
5556	1341	1	1				-1	1		6	UKRAINE		CRIMEA	44.3	34.3	40																													
116	1341	10	31				3	1		7	JAPAN		JUSANKO, TSUGARU AOMORI PREFECTURE	41	139.5	85			2.5	2.5		2600	4											2600	4										
3480	1343	10	18	19			3	1		7	TURKEY		MARMARA SEA	41	28.1	50				4									2																
3481	1343	10	20	14			2	1			TURKEY		MARMARA SEA	41	28.1	50				4																									
3113	1343	11	25				2	1			ITALY		BAY OF NAPLES			50				4																									
3114	1344	10	14				4	1		6.9	TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	40.8	28.8	50				5																									
3115	1348	1	25	23			2	1			ITALY		GULF OF VENICE	46.6	13.8	50				3																									
122	1360	11	22				4	1		7	JAPAN		KUMANONADA	33.4	136.2	85			2.5	2			3												3										
124	1361	8	3				4	1		8.4	JAPAN		NANKAIDO	33	135	85			4	3		660	3						4	1700	4			660	3						4	1700	4		
3116	1365	1	2				3	1			ALGERIA		ALGIERS	36.8	3	50							1												3						3		3		
126	1389	3	20				2	1		6.8	GREECE		CHIOS ISLAND, AEGEAN ISLANDS	38.4	26.3	50				3																									
3117	1402	6					2	1		7	GREECE		GULF OF CORINTH	38.11	22.41	50				5																									
3545	1402						2	1			SYRIA		SYRIA	35	37	50																													
127	1403	11	16				2	1			GREECE		AEGEAN SEA - ASIA MINOR			50				3																									
128	1403	12					4	1		7	JAPAN		KUMANONADA	33.7	136.5	85	2		1	1																									
129	1406	10	16				-1	9		6.2	JAPAN		SHIZUOKA, JAPAN	34.4	138.4	85			1	1																									
130	1407	8	23				1	0			NORTH KOREA		HAEJU COAST, YELLOW SEA	38	125.7	84				0																									
131	1408	1	21				4	1		7	JAPAN		KUMANONADA	33.8	136.9	85	2		1	1																									
3565	1408	12	20				2	1			TURKEY		ANTIOCH	36.2	36.1	50																			3						3				
2318	1419	5	25				3	1			TURKEY		MARMARA SEA			50																													
132	1420	9	6				1	0			JAPAN		KASHIMA			85	2		1	1																									
133	1433	11	7				4	1		7.1	JAPAN		OFF IZU-OSHIMA	34.9	139.5	85	2		1	1															3						3				
135	1434	8	6				1	0			SOUTH KOREA		INCHON, CHEMULPO BAY, YELLOW SEA	37.5	126	84				.5									1												1				
3482	1437	11	28				1	1			GREECE		AEGEAN SEA	40	26.1	50																													
136	1448	9	19				3	1		7	JAPAN		SADO, JAPAN	37.5	138.2	85			2	2									2												2				
3118	1456	12	4	20			2	1			ITALY		BAY OF NAPLES	41.3	14.7	50				4														30000	4						4		4		
137	1481	5	3				2	1		7.1	GREECE		ISLAND OF RHODES	36	28	50	3			3			3						3						3						3				
5418	1481	10	3				2	1			GREECE		ISLAND OF RHODES	36	28	50																													
139	1489						2	1			TURKEY		SOUTH COASTS OF ASIA MINOR			50				3																									
3119	1494	7	1				3	1		7.2	GREECE		ISLAND OF CRETE	35.5	25.5	50				2									1												2		2		
142	1495	9	12				4	1		7.1	JAPAN		KAMAKURA, SAGAMI BAY, TOKAIDO	35.1	139.5	85	5		2	2		200	3											200	3						1		1		
144	1498	7	9				2	1		6.4	JAPAN		ENSHUNADA	34.4	137.7	85			0																						1				
145	1498	8	2				2	1			VENEZUELA		BOCA DE LA SIERPE	9.9	-62.3	74							3						3		3				3						3		3		
2993	1498	9	20				4	1		7.5	JAPAN		NANKAIDO	33.5	135.2	85			2										1												1				
146	1498	9	20				4	1		8.3	JAPAN		ENSHUNADA SEA	34	138.1	85	10		3	4		31000	4						4	1000	4			31000	4						3	1000	3		
148	1500	7	10				-1	1			JAPAN		TOKAIDO			85																													
147	1500						2	0			USA	HI	HAWAII			80							3												3										
4271	1504	4	5	9			1	1			PORTUGAL		LISBON			73																													
149	1508	5	29				2	1		7.1	GREECE		ISLAND OF CRETE	35	25.5	50				3																									
151	1509	6	17				3	1			CHINA		SOUTH CHINA SEA	31.5	121.5	84				0																									
152	1509	9	10				3	1		7.7	TURKEY		MARMARA SEA	40.8	28.1	50				3														5000	4						4	1700	4		
154	1510	9	21				4	1		6.7	JAPAN		OSAKA BAY	34.6	135.4	85	2		1	1									1												1				
156	1510	10	10				-1	9			JAPAN		ENSHUNADA SEA	34.5	137.6	85			2	1																									
157	1511	3	26				2	1	10	6.5	ITALY		NORTH ADRIATIC	46.2	13.433	50				3														15	1						3		3		
158	1512	10					1	0			JAPAN		TOKUSHIMA PREFECTURE			85				1.5		3700	4											3700	4										
5488	1513						2	1		8.7	PERU		CALLAO	-17.2	-72.3	89				3	-1																								
159	1519	9	24				1	0			SOUTH KOREA		CHUNGCHONG PROVINCE, YELLOW SEA	36.3	126	84				0																									
160	1520	4	4				4	1		7	JAPAN		KII, KUMANANONADA	33.6	136.3	85	2		1	1																									
161	1521	10					-1	0			JAPAN		NANKAIDO			85																													
4265	1522	10	22				1	1			PORTUGAL		AZORES			73																													
3648	1524						2	1			INDIA		DABUL (DABHEL)	17	73.2	60																													
163	1530	9	1	14	30		4	1			VENEZUELA		CUMANA	10.7	-64.1	74	7.3		2.6										2		3										2		3		
165	1531	1	26				1	1		7.7	PORTUGAL		LISBON	38.7	-9.1	73																		30000	4						3	1500	4		
3575	1531	1					0	1		4.8	CHINA		JIANGSU PROVINCE	30.7	117.5	84																									1				
166	1534						2	1			ISRAEL		PALESTINE			50				3																									
167	1537						1	1			MEXICO		S. MEXICO			88																									3				
3120	1538	9	26				2	1			ITALY		POZZUOLI	40.8	14.2	50				4																									
168	1539	11	24				2	1			HONDURAS		CABO DE HIGUERAS	16.2	-88.5	74													1		1										1		1		
2874	1540						3	6			USA	AK	COOK INLET, AK	59.37	-153.42	87																													
169	1541	12	25				2	1			VENEZUELA		CUBAGUA ISLAND	10.8	-64.2	74													1												1				
5404	1542	12	10				3	1		6.6	ITALY		SICILY, ITALY	37.07	15.3	50																									3				
170	1543	9	1				2	1			VENEZUELA		CUMANA	10.7	-64.1	74													1												3				
171	1545	2	7				2	1			JAPAN		IZU PENINSULA	34.8	139	85																													
173	1546	1	14				3	1		6.5	ISRAEL		GAZA - JAFFA	32	35.5	50				3			3												3						3		3		
174	1556	10	21				1	0			SOUTH KOREA		YELLOW SEA	37	126	84				.5																									
176	1562	7	25				1	0			JAPAN		W. KYUSHU ISLAND	32.5	130.6	85																													
3121	1562	10	20				3	1			ITALY		REGGIO DI CALABRIA	40.5	15.5	50				4																									
178	1562	10	28	10			2	1		8	CHILE		CENTRAL CHILE	-38.7	-73.5	89			4	3.5			3						3						3						3				
3122	1564	7	20				4	1		5.8	FRANCE		LIGURIA-COTE D'AZUR	44.017	7.283	50				4									1					650	3						4				
179	1570	2	8	13			3	1		8.8	CHILE		CENTRAL CHILE, OLD CONCEPCION	-36.75	-73	89			2	3		2000	4						3		3			2000	4						3		3		
3483	1570						1	1			GREECE		DODECANESE			50																													
181	1571	5	20				2	0			JAPAN		TAKADA, JAPAN			85			1	1																									
3484	1571	7	17	18	2		3	1			TURKEY		MARMARA SEA			50				3																									
182	1571	11	1				1	0			HOLLAND		HOLLAND			73																													
185	1575	12	16	18	30		3	1		8.5	CHILE		CENTRAL CHILE	-39.8	-73.2	89			2	2.5		100	2						2		2			1321	4						3		2		
186	1580	1					1	0			NORTH KOREA		YELLOW SEA	40	128	84				1																									
187	1580	4	6				3	1	33	6.2	UK		DOVER STRAITS, ENGLAND	51.019	1.309	73																													
3681	1582	1	22	16	30		1	1	30	8.2	PERU		S. PERU	-16.6	-71.6	89																			3				3		3		4		
5410	1584	3	17				2	1	30	8.4	PERU		PERU	-11.8	-77.8	89																									1				1
188	1585	6	11				1	0			JAPAN		OFF MIYAGI PREFECTURE			85	2		1	.5																									
191	1586	1	18				4	1		8.2	JAPAN		ISE BAY	35	136.8	85			2	1		8000	4						3		3			8000	4							10000	4		
194	1586	7	10	0	30		4	1	60	8.5	PERU		CENTRAL PERU	-12.3	-77.7	89	26		4.6	3.5									3					22	1						3		3		
3686	1587	7	9				1	1			PERU			-5.3	-80.5	89													2												2				
197	1589	3	21				4	1		6.7	JAPAN		SURUGA, JAPAN	34.8	138.2	85			1	1			3												3						3		3		
198	1590						2	1		7.7	PERU		S. PERU	-17.2	-72.9	89				1.5									2		2				1						2		2		
199	1591	7	26				1	1			PORTUGAL		AZORES	37.4	-25.3	73																													
3123	1594						2	1			ITALY		BAY OF NAPLES	40.8	14.4	50				5																									
203	1596	9	4				4	3		6.9	JAPAN		BEPPU BAY, KYUSHU	33.3	131.7	85	5		2	2		708	3						1	80	1			708	3						3	80	2		
204	1597	9	10				3	3		6.4	JAPAN		BEPPU BAY, JAPAN	33.3	131.6	85			1	1		40	1											40	1										
3124	1601						2	1			GREECE		ISLAND OF CRETE	35.5	25.5	50																													
207	1602	2	8				4	3		7.2	JAPAN		BOSO, JAPAN	35.1	140.5	85			1	1			3												3										
209	1603						2	0			JAPAN		KUMANONADA			85	2		1	1																									
212	1604	11	24	18	30		4	1	30	8.5	PERU		S. PERU	-17.88	-70.94	89	5		4	3.5		74	2						3		3			174	3						3		3		
3548	1604	12	29				1	1		8	CHINA		SOUTH CHINA SEA	25	119.5	84													2										1		3		3		
210	1604						1	1			GREECE		CRETE	35.5	25.5	50																													
216	1605	2	3				4	1		7.9	JAPAN		NANKAIDO	33	134.9	85	10		3	3		5000	4						3	700	3			5000	4						3	700	3		
2954	1605	2	3				4	1		7.9	JAPAN		ENSHUNADA	33.5	138.5	85			3			1001	4						1	80	1			1001	4						3	80	2		
219	1606	1	23				4	6			JAPAN		CHICHIJIMA-TOKAIDO	31.9	140	85																													
3563	1608	4	20				3	1		7.6	IRAN		CASPIAN SEA	36.4	50.5	40																									3		3		
222	1608	7	1				3	6			INDONESIA		GAMALAMA, TERNATE ISLAND	.8	127.325	83				1.5			1												1										
224	1609	1	19				1	0			UK		ENGLAND	51.5	.466	73																													
3125	1609	4					2	1		7.2	GREECE		ISLAND OF RHODES	36.4	28.4	50				4																									
226	1611	12	2				4	1		8.1	JAPAN		SANRIKU	39	144.5	85	25		3.5	4		5000	4						3					5000	4						3				
2328	1612	11	8				4	1		6.7	GREECE		ISLAND OF CRETE	35.5	25.5	50				4																									
3126	1613	8	25				2	1		5.6	ITALY		MESSINA	38.117	14.783	50				4														103	3						2	200	3		
228	1614	11	26				4	1		7.7	JAPAN		NIIGATA PREFECTURE	37.5	138	85			2	1			3												3						2				
2289	1615	6	5				4	1		5.7	UKRAINE		BLACK SEA	44.9	35.5	40	1			2																					1		1		
230	1615	9	16				2	1		7.5	CHILE		N. CHILE	-18.5	-70.35	89	4		2	1.5																					2				
231	1616	9	9				4	1		7	JAPAN		MIYAGI PREFECTURE	38.1	142	85			1	1			3						1						3						2				
233	1616	12	6				2	1		7.5	JAPAN		SANRIKU	39	144.5	85			1	1		200	3											200	3										
235	1619	5	1				4	1		6.4	JAPAN		YATSUSHIRO, JAPAN	32.5	130.6	85													1												1				
236	1622	5	5				2	1		6.6	GREECE		ISLAND OF ZAKYNTHOS	37.6	21	50																													
3127	1624	3	19				2	1			ITALY		DELTA OF THE PO	44.6	11.8	50				3																									
3128	1627	7	30	10	50		4	1		6.7	ITALY		GARGANO PENINSULA	41.733	15.35	50				5														5000	4										
238	1627	9	14				3	1		8	PHILIPPINES		W. LUZON ISLAND	18.4	121.6	84			2	3.5																					3		3		
240	1629	2	27				-1	1			GREECE		CRETE	35		50																													
241	1629	3	7				-1	1			GREECE		ISLAND OF CRETE			50																													
3789	1629	3	9	9			3	1	70	7	GREECE		CRETE	36	25	50				3															3						3		3		
243	1629	8	1				3	1			INDONESIA		BANDA SEA	-4.6	129.9	83	16		4	3									2		2										2		2		
242	1630	3	9				-1	1			GREECE		ISLANDS OF CYTHERA & CRETE			50																													
5182	1630						-1	1			INDONESIA		BANDA SEA	-4.6	129.9	83																													
3129	1631	12	17	9			3	4			ITALY		BAY OF NAPLES	40.821	14.426	50				5														4000	4						4		4		
245	1633	3	1				4	1		7.1	JAPAN		SAGAMI BAY	35.2	139.2	85			1	1									2					150	3						2				
246	1633	5	14				3	1			CHILE		S. CHILE	-41.8	-73.8	89			1	1.5			1						1		1				1						2		2		
248	1633	11	5				4	1		6.9	GREECE		ISLAND OF ZAKYNTHOS	37.6	21	50				3									1						3						3		3		
3549	1634	3					0	1		5.5	CHINA		HUBEI PROVINCE	30.7	115.1	84	1																								1				
249	1636	7	31				1	0			EAST CHINA SEA		E. CHINA SEA-S.JAPAN	35.1	129.05	84				0																									
3130	1636	9	30	18	30		0	1		7.2	GREECE		IONIAN SEA	38.1	20.3	50				3														520	3						3		3		
3131	1638	3	27	15	5		2	1		7	ITALY		TYRRHENIAN CALABRIA	39.033	16.283	50				5														9581	4						4		4		
250	1638						-1	0			PHILIPPINES		W. LUZON ISLAND			84																													
251	1640	4	4				1	1			GERMANY		ROER VALLEY	50.8	5.7	73																													
253	1640	7	31				4	6		6.5	JAPAN		SE. HOKKAIDO ISLAND	42.07	140.68	85			2	1		700	3						1	20	1			700	3						1	20	1		
254	1640	9	16				4	1			CHINA		SOUTH CHINA SEA	23	117	84			1	2																									
255	1641	12	21				1	1			PORTUGAL		AZORES	38.4	-28.1	73																													
256	1642	9	4				4	1		6.7	JAPAN		BOSO, JAPAN	35.2	140.6	85			1	1																									
258	1643	7	25				4	1		6.5	SOUTH KOREA		SEA OF JAPAN	35.5	129.5	84			1	1																					1				
