,Name,Location,Type,Latitude,Longitude,Elevation (m)
1163,Seulawah  Agam,Sumatra,Stratovolcano,5.45,95.66,1810.0
1164,Severny,Kamchatka,Shield Volcano,58.28,160.87,1936.0
1165,Sharat  Kovakab,Syria,Volcanic Field,36.53,40.85,534.0
1166,Shasta,US-California,Stratovolcano,41.41,-122.19,4317.0
1167,Shiga,Honshu-Japan,Shield Volcano,36.69,138.52,2041.0
1168,Shikaribetsu Group,Hokkaido-Japan,Lava Domes,43.31,143.1,1401.0
1169,Shikotsu,Hokkaido-Japan,Caldera,42.69,141.38,1320.0
1170,Shiretoko-Iwo-zan,Hokkaido-Japan,Stratovolcano,44.13,145.17,1563.0
1171,Shiribetsu,Hokkaido-Japan,Stratovolcano,42.77,140.92,1107.0
1172,Shirinki,Kuril Is,Stratovolcano,50.2,154.98,761.0
1173,Shishaldin,Aleutian Is,Stratovolcano,54.76,-163.97,2857.0
1174,Shisheika,Kamchatka,Lava Dome,57.15,161.08,379.0
1175,Shishel,Kamchatka,Shield Volcano,57.45,160.37,2525.0
1176,Shiveluch,Kamchatka,Stratovolcano,56.65,161.36,3283.0
1177,Shoshone  Lava Field,US-Idaho,Shield Volcano,43.18,-114.35,1478.0
1178,Sibayak,Sumatra,Stratovolcano,3.23,98.52,2212.0
1179,Sibualbuali,Sumatra,Stratovolcano,1.56,99.26,1819.0
1180,Sikhote-Alin,Russia-SE,Volcanic Field,47.0,137.5,
1181,Silali,Africa-E,Shield Volcano,1.15,36.23,1528.0
1182,Silay,Philippines-C,Stratovolcano,10.77,123.23,1510.0
1183,Silver  Lake,US-California,Cinder Cone,40.73,-121.84,1535.0
1184,Silverthrone,Canada,Caldera,51.43,-126.3,3160.0
1185,Simbo,Solomon Is-SW Pacific,Stratovolcano,-8.29,156.52,335.0
1186,Sinabung,Sumatra,Stratovolcano,3.17,98.39,2460.0
1187,Sinarka,Kuril Is,Stratovolcano,48.88,154.18,934.0
1188,Singu Plateau,SE Asia,Fissure Vents,22.7,95.98,507.0
1189,"Singüil,  Cerro",El Salvador,Cinder Cone,14.05,-89.65,957.0
1190,Siple,Antarctica,Shield Volcano,-73.43,-126.67,3110.0
1191,Sirung,Lesser Sunda Is,Complex Volcano,-8.51,124.13,862.0
1192,Sisters,US-Oregon,Complex Volcano,44.1,121.75,3158.0
1193,Slamet,Java,Stratovolcano,-7.24,109.21,3428.0
1194,Smirnov,Kuril Is,Stratovolcano,44.42,146.14,1189.0
1195,Smith  Rock,Izu Is-Japan,Submarine Volcano,31.44,140.05,136.0
1196,Snaefellsjökull,Iceland-W,Stratovolcano,64.8,-23.78,1448.0
1197,Snegovoy,Kamchatka,Shield Volcano,58.2,160.97,2169.0
1198,Snezhniy,Kamchatka,Shield Volcano,58.02,160.8,2169.0
1199,Snowy  Mountain,Alaska Peninsula,Stratovolcano,58.34,-154.68,2162.0
1200,Soche,Ecuador,Stratovolcano,0.55,-77.58,3955.0
1201,Socompa,Chile-N,Stratovolcano,-24.4,-68.25,6051.0
1202,Socorro,México-Is,Shield Volcano,18.78,-110.95,1050.0
1203,Soda  Lakes,US-Nevada,Maars,39.53,-118.87,1251.0
1204,Sodore,Ethiopia,Pyroclastic Cone,8.43,39.35,1765.0
1205,Sofugan,Izu Is-Japan,Stratovolcano,29.79,140.35,99.0
1206,Sollipulli,Chile-C,Caldera,-38.97,-71.52,2282.0
1207,"Solo,  El",Chile-N,Stratovolcano,-27.11,-68.72,6190.0
1208,Soputan,Sulawesi-Indonesia,Stratovolcano,1.11,124.73,1784.0
1209,Sorikmarapi,Sumatra,Stratovolcano,0.69,99.54,2145.0
1210,Sork Ale,Ethiopia,Stratovolcano,13.18,41.73,1611.0
1211,Sotará,Colombia,Stratovolcano,2.11,-76.59,4400.0
1212,Soufrière Guadeloupe,W Indies,Stratovolcano,16.05,-61.67,1467.0
1213,Soufrière Hills,W Indies,Stratovolcano,16.72,-62.18,915.0
1214,Soufrière St. Vincent,W Indies,Stratovolcano,13.33,-61.18,1220.0
1215,South Island,Africa-E,Stratovolcano,2.63,36.6,800.0
1216,South Sister,US-Oregon,Complex Volcano,44.1,-121.77,3157.0
1217,Southern  EPR-Segment I,Pacific-E,Submarine Volcano,-18.53,-113.42,-2600.0
1218,Southern EPR-Segment J,Pacific-E,Submarine Volcano,-18.18,-113.35,-2650.0
1219,Southern  EPR-Segment K,Pacific-E,Submarine Volcano,-17.44,-113.21,-2566.0
1220,SP Mountain,US-Arizona,Cinder Cone,35.6,-111.6,2141.0
1221,Spectrum  Range,Canada,Shield Volcano,57.43,-130.68,2430.0
1222,Spokoiny,Kamchatka,Stratovolcano,58.13,160.82,2171.0
1223,Spurr,Alaska-SW,Stratovolcano,61.3,-152.25,3374.0
1224,Squaw Ridge Lava Field,US-Oregon,Volcanic Field,43.47,-120.75,1711.0
1225,Srednii,Kuril Is,Submarine Volcano,47.6,152.92,36.0
1226,St. Andrew Strait,Admiralty Is-SW Pacific,Complex Volcano,-2.38,147.35,270.0
1227,St.  Catherine,W Indies,Stratovolcano,12.15,-61.67,840.0
1228,St.  Helens,US-Washington,Stratovolcano,46.2,-122.18,2549.0
1229,St.  Michael,Alaska-W,Shield Volcano,63.45,-162.12,715.0
1230,St. Paul,Indian O.-S,Stratovolcano,-38.72,77.53,268.0
1231,St.  Paul Island,Alaska-W,Shield Volcano,57.18,-170.3,203.0
1232,Steller,Alaska Peninsula,Stratovolcano,58.43,-154.4,2272.0
1233,Stepovak,Alaska Peninsula,Cinder Cone,55.93,-160.0,1555.0
1234,Stromboli,Italy,Stratovolcano,38.79,15.21,924.0
1235,Sturge  Island,Antarctica,Stratovolcano,-67.4,164.83,1167.0
1236,Suchitán,Guatemala,Stratovolcano,14.4,-89.78,2042.0
1237,Süphan  Dagi,Turkey,Stratovolcano,38.92,42.82,4158.0
1238,Suiyo Seamount,Izu Is-Japan,Submarine Volcano,28.6,140.63,-1418.0
1239,Sukaria  Caldera,Lesser Sunda Is,Caldera,-8.79,121.77,1500.0
1240,Sulu Range,New Britain-SW Pac,Stratovolcano,-5.5,150.94,610.0
1241,Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990.0
1242,Sumbing,Sumatra,Stratovolcano,-2.41,101.73,2507.0
1243,Sumbing,Java,Stratovolcano,-7.38,110.07,3371.0
1244,Sumiyoshi-ike,Kyushu-Japan,Maars,31.77,130.59,100.0
1245,Sundoro,Java,Stratovolcano,-7.3,109.99,3136.0
1246,Sunset Crater,US-Arizona,Cinder Cone,35.37,-111.5,2447.0
1247,Suoh,Sumatra,Caldera,-5.25,104.27,1000.0
1248,Supply Reef,Mariana Is-C Pacific,Submarine Volcano,20.13,145.1,-8.0
1249,Suretamatai,Vanuatu-SW Pacific,Complex Volcano,-13.8,167.47,921.0
1250,Suswa,Africa-E,Shield Volcano,-1.18,36.35,2356.0
1251,Suwanose-jima,Ryukyu Is,Stratovolcano,29.64,129.72,799.0
1252,SW Usangu Basin,Africa-E,Lava Domes,-8.75,33.8,2179.0
1253,Taal,Luzon-Philippines,Caldera,14.0,120.99,311.0
1254,Taapaca,Chile-N,Complex Volcano,-18.1,-69.5,5860.0
1255,Table Top-Wide Bay,Aleutian Is,Cinder Cone,53.97,-166.68,792.0
1256,Taburete,El Salvador,Stratovolcano,13.44,-88.53,1172.0
1257,Tacaná,México,Stratovolcano,15.13,-92.11,4060.0
1258,Tacora,Chile-N,Stratovolcano,-17.72,-69.77,5980.0
1259,Tafahi,Tonga-SW Pacific,Stratovolcano,-15.85,-173.72,560.0
1260,Taftan,Iran,Stratovolcano,28.6,61.13,3940.0
1261,Tahalra Volc Field,Africa-N,Pyroclastic Cone,22.67,5.0,1467.0
1262,Tahual,Guatemala,Stratovolcano,14.43,-89.9,1716.0
1263,"Tair, Jebel at",Red Sea,Stratovolcano,15.55,41.83,244.0
1264,Tajumulco,Guatemala,Stratovolcano,15.03,-91.9,4220.0
1265,Takahara,Honshu-Japan,Stratovolcano,36.9,139.78,1795.0
1266,Takahe,Antarctica,Shield Volcano,-76.28,-112.08,3460.0
1267,Takawangha,Aleutian Is,Stratovolcano,51.87,-178.01,1449.0
1268,Takuan  Group,Bougainville-SW Pacific,Volcanic Complex,-6.44,155.61,2210.0
1269,Talagabodas,Java,Stratovolcano,-7.21,108.07,2201.0
1270,Talakmau,Sumatra,Complex Volcano,0.08,99.98,2919.0
1271,Talang,Sumatra,Stratovolcano,-0.98,100.68,2597.0
1272,Tambo  Quemado,Bolivia,Pyroclastic Shield,-18.62,-68.75,4215.0
1273,Tambora,Lesser Sunda Is,Stratovolcano,-8.25,118.0,2850.0
1274,Tampomas,Java,Stratovolcano,-6.77,107.95,1684.0
1275,Tana,Aleutian Is,Stratovolcano,52.83,-169.77,1170.0
1276,Tanaga,Aleutian Is,Stratovolcano,51.89,-178.15,1806.0
1277,Tandikat,Sumatra,Stratovolcano,-0.43,100.32,2438.0
1278,Tangaroa,New Zealand,Submarine Volcano,-36.32,178.03,600.0
1279,Tangkubanparahu,Java,Stratovolcano,-6.77,107.6,2084.0
1280,Tao-Rusyr Caldera,Kuril Is,Stratovolcano,49.35,154.7,1325.0
1281,"Tara, Batu",Lesser Sunda Is,Stratovolcano,-7.79,123.58,748.0
1282,Tarakan,Halmahera-Indonesia,Pyroclastic Cone,1.83,127.83,318.0
1283,Taryatu-Chulutu,Mongolia,Volcanic Field,48.17,99.7,2400.0
1284,Tat  Ali,Ethiopia,Shield Volcano,13.28,41.07,700.0
1285,Tata Sabaya,Bolivia,Stratovolcano,-19.13,-68.53,5430.0
1286,Tateshina,Honshu-Japan,Stratovolcano,36.1,138.3,2530.0
1287,Tate-yama,Honshu-Japan,Stratovolcano,36.57,137.59,2621.0
1288,Ta'u,Samoa-SW Pacific,Shield Volcano,-14.23,-169.45,931.0
1289,Taunshits,Kamchatka,Stratovolcano,54.53,159.8,2353.0
1290,Taupo,New Zealand,Caldera,-38.82,176.0,760.0
1291,Taveuni,Fiji Is-SW Pacific,Shield Volcano,-16.82,-179.97,1241.0
1292,Tavui,New Britain-SW Pac,Caldera,-4.12,152.2,200.0
1293,Teahitia,Society Is-C Pacific,Submarine Volcano,-17.57,-148.85,-1400.0
1294,Tecapa,El Salvador,Stratovolcano,13.49,-88.5,1593.0
1295,Tecuamburro,Guatemala,Stratovolcano,14.16,-90.41,1845.0
1296,Telica,Nicaragua,Stratovolcano,12.6,-86.85,1061.0
1297,Telomoyo,Java,Stratovolcano,-7.37,110.4,1894.0
1298,"Telong,  Bur ni",Sumatra,Stratovolcano,4.77,96.82,2617.0
1299,Tendürek Dagi,Turkey,Shield Volcano,39.37,43.87,3584.0
1300,Tenerife,Canary Is,Stratovolcano,28.27,-16.64,3715.0
1301,Tengchong,SE Asia,Pyroclastic Cone,25.23,98.5,2865.0
1302,Tengger Caldera,Java,Stratovolcano,-7.94,112.95,2329.0
1303,Tenorio,Costa Rica,Stratovolcano,10.67,-85.02,1916.0
1304,Teon,Banda Sea,Stratovolcano,-6.92,129.13,655.0
1305,Tepi,Ethiopia,Shield Volcano,7.42,35.43,2728.0
1306,Terceira,Azores,Stratovolcano,38.73,-27.32,1023.0
1307,Terpuk,Kamchatka,Shield Volcano,57.2,159.83,765.0
1308,Theistareykjarbunga,Iceland-NE,Shield Volcano,65.88,-16.83,564.0
1309,Thompson Island,Atlantic-S,Submarine Volcano,-53.93,5.5,
1310,Three Fingered Jack,US-Oregon,Shield Volcano,44.5,-121.8,2390.0
1311,Thule Islands,Antarctica,Stratovolcano,-59.45,-27.37,1075.0
1312,Tianshan  Volc Group,China-W,Volcanic Field,42.5,82.5,
1313,Tiatia,Kuril Is,Stratovolcano,44.35,146.26,1819.0
1314,Ticsani,Perú,Lava Domes,-16.76,-70.6,5408.0
1315,Tidore,Halmahera-Indonesia,Stratovolcano,0.66,127.4,1730.0
1316,Tigalalu,Halmahera-Indonesia,Stratovolcano,0.07,127.42,422.0
1317,"Tigre, El",El Salvador,Stratovolcano,13.47,-88.43,1640.0
1318,"Tigre,  Isla el",Honduras,Stratovolcano,13.27,-87.64,783.0
1319,Tilocalar,Chile-N,Stratovolcano,-23.97,-68.13,3116.0
1320,Tin  Zaouatene Volc Field,Africa-N,Volcanic Field,19.83,2.83,
1321,Tinakula,Santa Cruz Is-SW Pacific,Stratovolcano,-10.38,165.8,851.0
1322,Tindfjallajökull,Iceland-S,Stratovolcano,63.78,-19.57,1463.0
1323,Tinguiririca,Chile-C,Stratovolcano,-34.81,-70.35,4280.0
1324,Tipas,Argentina,Complex Volcano,-27.2,-68.55,6660.0
1325,Titila,Kamchatka,Shield Volcano,57.4,160.1,1559.0
1326,Tjörnes  Fracture Zone,Iceland-N of,Submarine Volcano,66.3,-17.1,
1327,Tlevak Strait-Suemez Is.,Alaska-E,Volcanic Field,55.25,-133.3,50.0
1328,Toba,Sumatra,Caldera,2.58,98.83,2157.0
1329,Tobaru,Halmahera-Indonesia,Unknown,1.63,127.67,1035.0
1330,Todoko-Ranu,Halmahera-Indonesia,Caldera,1.25,127.47,979.0
1331,Todra Volc Field,Africa-N,Cinder Cone,17.68,8.5,1780.0
1332,Tofua,Tonga-SW Pacific,Caldera,-19.75,-175.07,515.0
1333,"Tôh, Tarso",Africa-N,Volcanic Field,21.33,16.33,2000.0
1334,Tokachi,Hokkaido-Japan,Stratovolcano,43.42,142.69,2077.0
1335,Tolbachik,Kamchatka,Shield Volcano,55.83,160.33,3682.0
1336,Tolguaca,Chile-C,Stratovolcano,-38.31,-71.65,2806.0
1337,"Tolima, Nevado del",Colombia,Stratovolcano,4.67,-75.33,5200.0
1338,Tolimán,Guatemala,Stratovolcano,14.61,-91.19,3158.0
1339,Tolmachev Dol,Kamchatka,Cinder Cone,52.63,157.58,1021.0
1340,"Toluca,  Nevado de",México,Stratovolcano,19.11,-99.76,4680.0
1341,Tombel Graben,Africa-W,Cinder Cone,4.75,9.67,500.0
1342,Tondano  Caldera,Sulawesi-Indonesia,Caldera,1.23,124.83,1202.0
1343,Toney Mountain,Antarctica,Shield Volcano,-75.8,-115.83,3595.0
1344,Tongariro,New Zealand,Stratovolcano,-39.13,175.64,1978.0
1345,Tongkoko,Sulawesi-Indonesia,Stratovolcano,1.52,125.2,1149.0
1346,Tore,Bougainville-SW Pacific,Lava Cone,-5.83,154.93,2200.0
1347,Torfajökull,Iceland-S,Stratovolcano,63.92,-19.17,1259.0
1348,Tori-shima,Izu Is-Japan,Stratovolcano,30.48,140.31,394.0
1349,Toroeng Prong,SE Asia,Cinder Cone,14.93,108.0,800.0
1350,"Tortuga,  Isla",México,Shield Volcano,27.43,-111.98,210.0
1351,Tosa Sucha,Ethiopia,Cinder Cone,5.93,37.57,1650.0
1352,To-shima,Izu Is-Japan,Stratovolcano,34.52,139.28,508.0
1353,"Toussidé, Tarso",Africa-N,Stratovolcano,21.03,16.45,3265.0
1354,Towada,Honshu-Japan,Caldera,40.47,140.92,1159.0
1355,Traitor's Head,Vanuatu-SW Pacific,Stratovolcano,-18.75,169.23,837.0
1356,Tres  Vírgenes,México,Stratovolcano,27.47,-112.59,1940.0
1357,Tri Sestry,Kuril Is,Stratovolcano,45.93,149.92,998.0
1358,Trident,Alaska Peninsula,Stratovolcano,58.24,-155.1,1864.0
1359,Trindade,Atlantic-C,Stratovolcano,-20.51,-29.33,600.0
1360,Tristan da Cunha,Atlantic-S,Shield Volcano,-37.09,-12.28,2060.0
1361,Trocon,Argentina,Lava Domes,-37.73,-70.9,2500.0
1362,"Trois  Pitons, Morne",W Indies,Complex Volcano,15.37,-61.33,1387.0
1363,Tromen,Argentina,Stratovolcano,-37.14,-70.03,3978.0
1364,Tronador,Chile-S,Stratovolcano,-41.16,-71.89,3491.0
1365,Tseax River Cone,Canada,Pyroclastic Cone,55.12,-128.9,609.0
1366,Tshibinda,Africa-C,Cinder Cone,-2.32,28.75,1460.0
1367,Tskhouk-Karckar,Armenia,Pyroclastic Cone,39.73,46.02,3000.0
1368,Tsurumi,Kyushu-Japan,Lava Domes,33.28,131.43,1584.0
1369,"Tujle, Cerro",Chile-N,Maar,-23.83,-67.95,3550.0
1370,Tullu  Moje,Ethiopia,Pumice Cone,8.16,39.13,2349.0
1371,Tumble Buttes,US-California,Cinder Cone,40.68,-121.55,2191.0
1372,Tungnafellsjökull,Iceland-NE,Stratovolcano,64.73,-17.92,1535.0
1373,Tungurahua,Ecuador,Stratovolcano,-1.47,-78.44,5023.0
1374,Tunkin  Depression,Russia-SE,Volcanic Field,51.5,102.5,1200.0
1375,Tupungatito,Chile-C,Stratovolcano,-33.4,-69.8,6000.0
1376,Turfan,China-W,Cone,42.9,89.25,
1377,Turrialba,Costa Rica,Stratovolcano,10.03,-83.77,3340.0
1378,Tutuila,Samoa-SW Pacific,Tuff Cone,-14.3,-170.7,653.0
1379,Tutupaca,Perú,Stratovolcano,-17.03,-70.36,5815.0
1380,Tuya  Volc Field,Canada,Volcanic Field,59.37,-130.58,2123.0
1381,"Tuzgle, Cerro",Argentina,Stratovolcano,-24.05,-66.48,5500.0
1382,Tuzovsky,Kamchatka,Shield Volcano,57.32,159.97,1533.0
1383,Twin Buttes,US-California,Cinder Cone,40.78,-121.59,1631.0
1384,Ubehebe Craters,US-California,Maars,37.02,-117.45,752.0
1385,Ubinas,Perú,Stratovolcano,-16.36,-70.9,5672.0
1386,Udina,Kamchatka,Stratovolcano,55.76,160.53,2923.0
1387,Udokan  Plateau,Russia-SE,Pyroclastic Cone,56.28,117.77,2180.0
1388,Ugashik-Peulik,Alaska Peninsula,Stratovolcano,57.75,-156.37,1474.0
1389,Uinkaret Field,US-Arizona,Volcanic Field,36.38,-113.13,1555.0
1390,Uka,Kamchatka,Shield Volcano,57.7,160.58,1643.0
1391,Ukinrek  Maars,Alaska Peninsula,Maars,57.83,-156.51,91.0
1392,Uksichan,Kamchatka,Shield Volcano,56.08,158.38,1692.0
1393,Ulawun,New Britain-SW Pac,Stratovolcano,-5.05,151.33,2334.0
1394,Uliaga,Aleutian Is,Stratovolcano,53.07,-169.77,888.0
1395,Ulreung,Korea,Stratovolcano,37.5,130.87,984.0
1396,Umboi,New Guinea-NE of,Complex Volcano,-5.59,147.88,1548.0
1397,"Umm  Arafieb, Jebel",Africa-N,Shield Volcano,18.17,33.83,
1398,Undara,Australia,Shield Volcano,-18.25,144.75,1020.0
1399,Ungaran,Java,Stratovolcano,-7.18,110.33,2050.0
1400,Unnamed,Georgia,Cinder Cone,42.45,44.25,3750.0
1401,Unnamed,Georgia,Lava Cone,41.55,43.6,3400.0
1402,Unnamed,Ethiopia,Pyroclastic Cone,8.7,39.63,1300.0
1403,Unnamed,Ethiopia,Fissure Vents,8.62,38.95,1800.0
1404,Unnamed,Ethiopia,Fissure Vents,8.07,39.07,1800.0
1405,Unnamed,Ethiopia,Cinder Cone,5.65,37.67,1200.0
1406,Unnamed,Africa-E,Pyroclastic Cone,-8.63,33.57,
1407,Unnamed,Syria,Volcanic Field,36.67,37.0,
1408,Unnamed,Syria,Volcanic Field,33.0,36.43,945.0
1409,Unnamed,Arabia-S,Submarine Volcano,12.25,45.0,
1410,Unnamed,Iran,Volcanic Field,39.33,45.17,
1411,Unnamed,Iran,Volcanic Field,28.17,60.67,
1412,Unnamed,Indian O.-E,Submarine Volcano,11.75,80.75,
1413,Unnamed,Tonga-SW Pacific,Submarine Volcano,-24.8,-177.02,-385.0
1414,Unnamed,Tonga-SW Pacific,Submarine Volcano,-21.15,-175.75,-65.0
1415,Unnamed,Tonga-SW Pacific,Submarine Volcano,-21.38,-175.65,-500.0
1416,Unnamed,Tonga-SW Pacific,Submarine Volcano,-20.85,-175.53,-13.0
1417,Unnamed,Tonga-SW Pacific,Submarine Volcano,-18.33,-174.37,-40.0
1418,Unnamed,Admiralty Is-SW Pacific,Submarine Volcano,-3.03,147.78,-1300.0
1419,Unnamed,New Guinea-NE of,Submarine Volcano,-4.31,146.26,-2000.0
1420,Unnamed,New Britain-SW Pac,Submarine Volcano,-5.2,148.57,
1421,Unnamed,New Britain-SW Pac,Submarine Volcano,-4.75,150.85,
1422,Unnamed,Solomon Is-SW Pacific,Submarine Volcano,-8.92,158.03,-240.0
1423,Unnamed,Vanuatu-SW Pacific,Stratovolcano,-16.99,168.59,216.0
1424,Unnamed,SW Pacific,Submarine Volcano,-25.78,168.63,-2400.0
1425,Unnamed,Sangihe Is-Indonesia,Submarine Volcano,3.97,124.17,-5000.0
1426,Unnamed,Luzon-N of,Submarine Volcano,20.33,121.75,-24.0
1427,Unnamed,Taiwan-E of,Submarine Volcano,19.17,132.25,-10.0
1428,Unnamed,Taiwan-E of,Submarine Volcano,20.93,134.75,-6000.0
1429,Unnamed,Taiwan-E of,Submarine Volcano,21.83,121.18,-115.0
1430,Unnamed,Taiwan-E of,Submarine Volcano,24.0,121.83,
1431,Unnamed,Taiwan-N of,Submarine Volcano,25.4,122.2,-100.0
1432,Unnamed,Volcano Is-Japan,Submarine Volcano,26.13,144.48,-3200.0
1433,Unnamed,Mariana Is-C Pacific,Submarine Volcano,21.0,142.9,
1434,Unnamed,Mariana Is-C Pacific,Submarine Volcano,20.3,143.2,
1435,Unnamed,Kuril Is,Submarine Volcano,45.03,147.21,-930.0
1436,Unnamed,Kuril Is,Submarine Volcano,46.1,150.5,-100.0
1437,Unnamed,Kuril Is,Submarine Volcano,46.47,151.28,-502.0
1438,Unnamed,Kuril Is,Submarine Volcano,48.08,153.33,-150.0
1439,Unnamed,Kamchatka,Cinder Cone,51.6,156.55,298.0
1440,Unnamed,Kamchatka,Cinder Cone,52.57,157.02,610.0
1441,Unnamed,Kamchatka,Shield Volcano,52.92,158.52,450.0
1442,Unnamed,Kamchatka,Shield Volcano,52.88,158.3,700.0
1443,Unnamed,Kamchatka,Cinder Cone,55.92,161.75,
1444,Unnamed,Kamchatka,Shield Volcano,56.82,158.95,1185.0
1445,Unnamed,China-W,Volcanic Field,35.85,91.7,5400.0
1446,Unnamed,Alaska Peninsula,Lava Dome,57.87,-155.42,300.0
1447,Unnamed,Pacific-NE,Submarine Volcano,31.75,-124.25,-2533.0
1448,Unnamed,Hawaiian Is,Submarine Volcano,21.75,-158.75,-3000.0
1449,Unnamed,Hawaiian Is,Submarine Volcano,23.58,-163.83,-4000.0
1450,Unnamed,Pacific-E,Submarine Volcano,10.73,-103.58,
1451,Unnamed,Pacific-E,Submarine Volcano,9.83,-104.3,-2500.0
1452,Unnamed,Pacific-E,Submarine Volcano,-8.27,-107.95,-2800.0
1453,Unnamed,Pacific-S,Submarine Volcano,-53.9,-140.3,-1000.0
1454,Unnamed,Pacific-S,Submarine Volcano,-55.97,-143.17,
1455,Unnamed,México,Submarine Volcano,28.0,-115.0,
1456,Unnamed,Argentina,Pyroclastic Cone,-25.1,-68.27,
1457,Unnamed,Chile-Is,Submarine Volcano,-33.62,-76.83,-642.0
1458,Unnamed,Arctic Ocean,Submarine Volcano,88.27,-65.6,-1500.0
1459,Unnamed,Arctic Ocean,Submarine Volcano,85.58,85.0,-3800.0
1460,Unnamed,Atlantic-N,Submarine Volcano,49.0,-34.5,-1650.0
1461,Unnamed,Atlantic-N,Submarine Volcano,39.95,-25.83,-2835.0
1462,Unnamed,Atlantic-N,Submarine Volcano,38.75,-38.08,-4200.0
1463,Unnamed,Atlantic-C,Submarine Volcano,7.0,-21.83,-1415.0
1464,Unnamed,Atlantic-C,Submarine Volcano,4.2,-21.45,-2900.0
1465,Unnamed,Atlantic-C,Submarine Volcano,-0.72,-20.53,-1528.0
1466,Unnamed,Atlantic-C,Submarine Volcano,-3.5,-24.5,-5300.0
1467,Unnamed,Antarctica,Scoria Cone,-73.45,164.58,2987.0
1468,Unnamed,Antarctica,Submarine Volcano,-76.83,163.0,-500.0
1469,Unzen,Kyushu-Japan,Complex Volcano,32.76,130.29,1500.0
1470,Upolu,Samoa-SW Pacific,Shield Volcano,-13.94,-171.72,1100.0
1471,Urataman,Kuril Is,Somma Volcano,47.12,152.25,678.0
1472,Ushishur,Kuril Is,Caldera,47.52,152.8,401.0
1473,Ushkovsky,Kamchatka,Compound Volcano,56.07,160.47,3943.0
1474,Usu,Hokkaido-Japan,Stratovolcano,42.54,140.84,737.0
1475,Usulután,El Salvador,Stratovolcano,13.42,-88.47,1449.0
1476,Utila Island,Honduras,Pyroclastic Cone,16.1,-86.9,74.0
1477,"'Uwayrid,  Harrat",Arabia-W,Volcanic Field,27.08,37.25,1920.0
1478,Uzon,Kamchatka,Caldera,54.5,159.97,1617.0
1479,Vailulu'u,Samoa-SW Pacific,Submarine Volcano,-14.22,-169.06,-592.0
1480,Vakak  Group,Afghanistan,Volcanic Field,34.25,67.97,3190.0
1481,"Valle, El",Panamá,Stratovolcano,8.58,-80.17,1185.0
1482,Vatnafjöll,Iceland-S,Fissure Vents,63.92,-19.67,1235.0
1483,Veer,Kamchatka,Cinder Cone,53.75,158.45,520.0
1484,Veniaminof,Alaska Peninsula,Stratovolcano,56.17,-159.38,2507.0
1485,Verkhovoy,Kamchatka,Shield Volcano,56.52,159.53,1400.0
1486,Vernadskii Ridge,Kuril Is,Cinder Cone,50.55,155.97,1183.0
1487,Vestmannaeyjar,Iceland-S,Submarine Volcano,63.43,-20.28,279.0
1488,Vesuvius,Italy,Somma Volcano,40.82,14.43,1281.0
1489,Veteran,SE Asia,Submarine Volcano,9.83,109.05,
1490,Victory,New Guinea,Stratovolcano,-9.2,149.07,1925.0
1491,Viedma,Argentina,Subglacial Volcano,-49.36,-73.28,1500.0
1492,Villarrica,Chile-C,Stratovolcano,-39.42,-71.93,2847.0
1493,Vilyuchik,Kamchatka,Stratovolcano,52.7,158.28,2173.0
1494,Visoke,Africa-C,Stratovolcano,-1.47,29.49,3711.0
1495,Visokiy,Kamchatka,Stratovolcano,52.43,157.93,1234.0
1496,Vitim  Plateau,Russia-SE,Cinder Cone,53.7,113.3,1250.0
1497,Volcano W,Kermadec Is,Submarine Volcano,-31.85,-179.18,-900.0
1498,"Voon, Tarso",Africa-N,Stratovolcano,20.92,17.28,3100.0
1499,Voyampolsky,Kamchatka,Shield Volcano,58.37,160.62,1225.0
1500,Vsevidof,Aleutian Is,Stratovolcano,53.13,-168.69,2149.0
1501,Vulcano,Italy,Stratovolcano,38.4,14.96,500.0
1502,Vulsini,Italy,Caldera,42.6,11.93,800.0
1503,Vysoky,Kamchatka,Stratovolcano,55.07,160.77,2161.0
1504,Waesche,Antarctica,Shield Volcano,-77.17,-126.88,3292.0
1505,Waiowa,New Guinea,Pyroclastic Cone,-9.57,149.08,640.0
1506,Wallis Islands,SW Pacific,Shield Volcano,-13.3,-176.17,143.0
1507,Wapi  Lava Field,US-Idaho,Shield Volcano,42.88,-113.22,1604.0
1508,Washiba-Kumonotaira,Honshu-Japan,Shield Volcano,36.41,137.59,2924.0
1509,"Washington, Mount",US-Oregon,Shield Volcano,44.3,-121.8,2376.0
1510,"Watt, Morne",W Indies,Stratovolcano,15.31,-61.31,1224.0
1511,Wau-en-Namus,Africa-N,Caldera,25.05,17.55,547.0
1512,Wayang-Windu,Java,Lava Dome,-7.21,107.63,2182.0
1513,Wells  Gray-Clearwater,Canada,Cinder Cone,52.33,-120.57,2015.0
1514,West Crater,US-Washington,Volcanic Field,45.88,-122.08,1329.0
1515,West  Eifel Volc Field,Germany,Maars,50.17,6.85,600.0
1516,Westdahl,Aleutian Is,Stratovolcano,54.52,-164.65,1654.0
1517,Whangarei,New Zealand,Cinder Cone,-35.75,174.27,397.0
1518,White Island,New Zealand,Stratovolcano,-37.52,177.18,321.0
1519,Wilis,Java,Stratovolcano,-7.81,111.76,2563.0
1520,Wolf,Galápagos,Shield Volcano,0.02,-91.35,1710.0
1521,Wrangell,Alaska-E,Shield Volcano,62.0,-144.02,4317.0
